"odhf_facility_type","hospital_id","survey_month","survey_year","month_0","month_1","month_2","month_3","month_4","month_5","month_6","month_7","month_8","month_9","month_10","month_11","month_12","month_13","month_14","month_15","month_16","month_17","month_18","month_19","month_20","month_21","month_22","month_23","month_24","geometry"
"Hospitals",2,11,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-12706944.6571737, 6634497.0335381)
"Hospitals",3,2,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-12660453.0737193, 7048281.12080169)
"Hospitals",13,2,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-12704189.2771376, 6739203.15191593)
"Hospitals",14,2,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-14320944.9370655, 7179723.06798571)
"Hospitals",19,9,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,c(-13102465.3683105, 6292403.20322589)
"Hospitals",22,8,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-13056086.0950903, 6359278.02075425)
"Hospitals",29,7,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-13748914.3047428, 6251384.16061534)
"Hospitals",31,8,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-13784429.2075436, 6274138.84654339)
"Hospitals",34,6,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-13999679.6807553, 7214908.09028476)
"Hospitals",44,3,2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-13649114.1993846, 6291047.29061212)
"Hospitals",54,11,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-13574164.0775396, 6566642.88443695)
"Hospitals",56,12,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-13699908.2922901, 6329652.53280733)
"Hospitals",57,6,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-12798312.0216736, 7022279.30771443)
"Hospitals",74,8,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-12548593.616604, 6704821.74294023)
"Hospitals",76,8,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-13703501.451682, 7427660.74193186)
"Hospitals",106,11,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-12958367.9647726, 7093227.78531782)
"Hospitals",108,9,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-14711658.405048, 7174030.13617733)
"Hospitals",114,8,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-13376242.1973901, 7038989.19485383)
"Hospitals",116,5,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-12345977.7274861, 7150668.59236579)
"Hospitals",145,9,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-14315301.4618963, 7267380.95560257)
"Hospitals",154,11,2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-13618012.4464768, 6297819.14864688)
"Hospitals",184,9,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-13800198.7934011, 6306310.1635659)
"Hospitals",199,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-12620738.5095449, 7101590.90545285)
"Hospitals",208,11,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-13444347.5620449, 6467287.20199946)
"Hospitals",219,1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-13911639.5111199, 6396791.84707563)
"Hospitals",227,2,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-14711658.182409, 7174054.10557591)
"Hospitals",275,7,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-13178508.0575618, 7572555.89011689)
"Hospitals",293,10,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-13669168.62829, 6279947.86722261)
"Hospitals",295,11,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-12705332.9513221, 6632672.58113664)
"Hospitals",304,8,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-12622878.5376998, 6399015.56744736)
"Hospitals",306,12,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,c(-13311353.9437552, 6356912.03955345)
"Hospitals",315,8,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-12396738.9366141, 7702633.12726403)
"Hospitals",326,7,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-12602839.0033423, 7112257.1331309)
"Hospitals",329,4,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-14191880.8856688, 6520382.54418789)
"Hospitals",330,5,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-14193558.9045411, 6571915.69440512)
"Hospitals",331,9,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-14145129.2153561, 6547447.45645503)
"Hospitals",334,12,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-13861323.8805177, 6420481.55168061)
"Hospitals",335,1,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-12603873.7402731, 7114167.83232639)
"Hospitals",341,10,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-13666078.9335592, 7153391.05115902)
"Hospitals",342,11,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-14508436.548282, 7228026.92991885)
"Hospitals",343,11,2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-13416975.1011343, 6352266.05613949)
"Hospitals",345,4,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,c(-13706567.1014029, 6322593.82499743)
"Hospitals",347,2,2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-13700432.5959598, 6311029.67093375)
"Hospitals",348,7,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-13702906.0037258, 6318752.86317364)
"Hospitals",354,5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-13002272.7058999, 7247166.35447202)
"Hospitals",358,4,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-13725642.0078449, 6185658.86258146)
"Hospitals",359,11,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-14702258.1419674, 7030239.216728)
"Hospitals",360,3,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-13156866.2127177, 6617191.3258746)
"Hospitals",366,12,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-14264851.2460298, 6829338.31982497)
"Hospitals",391,8,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-12634500.9827195, 7087281.0554651)
"Hospitals",395,1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,c(-13708614.2445747, 6303580.97199801)
"Hospitals",399,2,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-13260290.7359807, 7149637.68124651)
"Hospitals",402,10,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,c(-13651118.0615384, 6311624.05791725)
"Hospitals",409,3,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-13223469.6548027, 7395980.60809771)
"Hospitals",410,8,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-13670720.4219917, 6317531.18237973)
"Hospitals",420,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-12626939.1498974, 7068838.91114137)
"Hospitals",431,7,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,c(-13680234.4981196, 6313366.73165796)
"Hospitals",432,10,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-13395585.5507841, 6563161.06679585)
"Hospitals",433,5,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-13728800.5314169, 6179148.16187853)
"Hospitals",440,5,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-13738004.6272908, 6206329.8909463)
"Hospitals",441,11,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-13094205.5734131, 7596410.25722584)
"Hospitals",481,10,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-13277563.3687349, 6569199.47136278)
"Hospitals",484,4,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-12607383.8441929, 7307180.42902456)
"Hospitals",485,6,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-12459790.6301578, 6736892.78781277)
"Hospitals",489,12,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-12390707.1345332, 6922063.04843889)
"Hospitals",509,1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,c(-13307084.028651, 6306086.00115291)
"Hospitals",511,12,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-12963703.0626884, 7446094.33325666)
"Hospitals",521,6,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-13708013.0080049, 6394122.78621808)
"Hospitals",525,7,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-13804810.5706615, 7175562.01254487)
"Hospitals",526,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-13908431.773201, 6390088.39984298)
"Hospitals",528,8,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-13775745.9533033, 6355781.33663121)
"Hospitals",530,1,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-12677057.8006606, 6546475.83047176)
"Hospitals",542,4,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-13830595.3595987, 7254200.36566953)
"Hospitals",548,8,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-13089534.6075794, 7057011.6277704)
"Hospitals",552,6,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-13697668.5775312, 6317724.81526015)
"Hospitals",561,2,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-13674683.7520863, 6304879.09751848)
"Hospitals",580,5,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-12685016.2648283, 6803564.34077033)
"Hospitals",611,2,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-13614408.8675806, 6280137.65084269)
"Hospitals",624,4,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-13145084.0353607, 6960113.86828697)
"Hospitals",631,5,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-14016103.3910726, 6300590.64134081)
"Hospitals",642,4,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-12452147.3671283, 6944051.45380001)
"Hospitals",659,2,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,c(-13719682.2072107, 6319631.96358308)
"Hospitals",674,12,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,c(-13706091.1103922, 6319369.30527746)
"Hospitals",675,1,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-13706285.2181883, 6319296.12813408)
"Hospitals",676,12,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-13705750.2167155, 6319182.35514424)
"Hospitals",684,5,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-13277123.7569338, 6490667.57188869)
"Hospitals",687,6,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-13740505.8760613, 6184818.44061318)
"Hospitals",688,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-12463830.4590065, 7316342.29226222)
"Hospitals",699,2,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-12661601.7906767, 6883854.17144127)
"Hospitals",710,4,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-12555567.4042159, 7125325.42608388)
"Hospitals",725,6,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-13890673.5982239, 6317172.95453214)
"Hospitals",732,1,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-12639808.4734015, 7030275.48228009)
"Hospitals",764,9,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-12734968.4038972, 7192859.49225952)
"Hospitals",779,8,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-14210073.0396808, 7412408.30201983)
"Hospitals",785,4,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-13093556.2468233, 7745415.87761391)
"Hospitals",793,4,2018,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-10859296.3322019, 6293104.75008164)
"Hospitals",795,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,c(-10823181.9850751, 6604530.85614733)
"Hospitals",796,7,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,c(-11047428.4535045, 6340424.3093792)
"Hospitals",797,6,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-10744557.195707, 6456304.96691779)
